[ 2026-01-07 11:37:03,004 ] 20 root - INFO - Initiate the data ingestion
[ 2026-01-07 11:37:05,889 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-01-07 11:37:05,889 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-07 11:37:05,889 ] 74 root - INFO - Exporting train and test file path.
[ 2026-01-07 11:37:05,913 ] 83 root - INFO - Exported train and test file path.
[ 2026-01-07 11:37:05,913 ] 22 root - INFO - Data Initiation Completed
[ 2026-01-07 11:37:05,915 ] 26 root - INFO - Initiate the data Validation
[ 2026-01-07 11:37:05,923 ] 32 root - INFO - Required number of columns:2
[ 2026-01-07 11:37:05,923 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-07 11:37:05,923 ] 32 root - INFO - Required number of columns:2
[ 2026-01-07 11:37:05,924 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-07 11:37:05,986 ] 28 root - INFO - data Validation Completed
[ 2026-01-07 11:37:05,986 ] 31 root - INFO - data Transformation started
[ 2026-01-07 11:37:05,986 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-07 11:37:05,986 ] 63 root - INFO - Starting data transformation
[ 2026-01-07 11:37:05,993 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-07 11:37:05,993 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-07 11:37:05,998 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-07 11:37:05,999 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-07 11:37:05,999 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-07 11:37:06,001 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-07 11:37:06,002 ] 35 root - INFO - data Transformation completed
[ 2026-01-07 11:37:06,002 ] 37 root - INFO - Model Training stared
[ 2026-01-07 11:38:38,807 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-07 11:38:38,808 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-07 11:38:38,808 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-07 11:38:38,811 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-07 11:38:38,811 ] 134 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/01_07_2026_11_37_01/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917020845982595, precision_score=0.98989898989899, recall_score=0.9935117599351176), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9704573047349251, precision_score=0.9622792937399679, recall_score=0.9787755102040816))
[ 2026-01-07 11:38:38,811 ] 42 root - INFO - Model Training artifact created
