[ 2026-01-03 08:43:42,405 ] 20 root - INFO - Initiate the data ingestion
[ 2026-01-03 08:43:50,073 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-01-03 08:43:50,073 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-03 08:43:50,073 ] 74 root - INFO - Exporting train and test file path.
[ 2026-01-03 08:43:50,097 ] 83 root - INFO - Exported train and test file path.
[ 2026-01-03 08:43:50,097 ] 22 root - INFO - Data Initiation Completed
[ 2026-01-03 08:43:50,100 ] 26 root - INFO - Initiate the data Validation
[ 2026-01-03 08:43:50,109 ] 32 root - INFO - Required number of columns:2
[ 2026-01-03 08:43:50,109 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-03 08:43:50,109 ] 32 root - INFO - Required number of columns:2
[ 2026-01-03 08:43:50,109 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-03 08:43:50,173 ] 28 root - INFO - data Validation Completed
[ 2026-01-03 08:43:50,173 ] 31 root - INFO - data Transformation started
[ 2026-01-03 08:43:50,173 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-03 08:43:50,173 ] 63 root - INFO - Starting data transformation
[ 2026-01-03 08:43:50,180 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-03 08:43:50,180 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-03 08:43:50,184 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 08:43:50,186 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 08:43:50,186 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 08:43:50,188 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 08:43:50,188 ] 35 root - INFO - data Transformation completed
[ 2026-01-03 08:43:50,188 ] 37 root - INFO - Model Training stared
[ 2026-01-03 08:45:17,636 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 08:45:17,637 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 08:45:17,637 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 08:45:17,654 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 08:45:17,655 ] 115 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/01_03_2026_08_43_41/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911200807265389, precision_score=0.987929993964997, recall_score=0.9943308362016603), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9740680713128039, precision_score=0.9616, recall_score=0.986863711001642))
[ 2026-01-03 08:45:17,657 ] 42 root - INFO - Model Training artifact created
