[ 2026-01-03 08:27:56,151 ] 20 root - INFO - Initiate the data ingestion
[ 2026-01-03 08:28:05,489 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-01-03 08:28:05,490 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-03 08:28:05,490 ] 74 root - INFO - Exporting train and test file path.
[ 2026-01-03 08:28:05,515 ] 83 root - INFO - Exported train and test file path.
[ 2026-01-03 08:28:05,515 ] 22 root - INFO - Data Initiation Completed
[ 2026-01-03 08:28:05,518 ] 26 root - INFO - Initiate the data Validation
[ 2026-01-03 08:28:05,527 ] 32 root - INFO - Required number of columns:2
[ 2026-01-03 08:28:05,527 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-03 08:28:05,527 ] 32 root - INFO - Required number of columns:2
[ 2026-01-03 08:28:05,527 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-03 08:28:05,600 ] 28 root - INFO - data Validation Completed
[ 2026-01-03 08:28:05,600 ] 31 root - INFO - data Transformation started
[ 2026-01-03 08:28:05,600 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-03 08:28:05,600 ] 63 root - INFO - Starting data transformation
[ 2026-01-03 08:28:05,609 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-03 08:28:05,609 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-03 08:28:05,612 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 08:28:05,614 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 08:28:05,614 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 08:28:05,616 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 08:28:05,618 ] 35 root - INFO - data Transformation completed
[ 2026-01-03 08:28:05,618 ] 37 root - INFO - Model Training sstared
