[ 2026-01-03 08:36:53,053 ] 20 root - INFO - Initiate the data ingestion
[ 2026-01-03 08:36:55,603 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-01-03 08:36:55,603 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-03 08:36:55,603 ] 74 root - INFO - Exporting train and test file path.
[ 2026-01-03 08:36:55,627 ] 83 root - INFO - Exported train and test file path.
[ 2026-01-03 08:36:55,627 ] 22 root - INFO - Data Initiation Completed
[ 2026-01-03 08:36:55,629 ] 26 root - INFO - Initiate the data Validation
[ 2026-01-03 08:36:55,638 ] 32 root - INFO - Required number of columns:2
[ 2026-01-03 08:36:55,638 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-03 08:36:55,638 ] 32 root - INFO - Required number of columns:2
[ 2026-01-03 08:36:55,638 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-03 08:36:55,708 ] 28 root - INFO - data Validation Completed
[ 2026-01-03 08:36:55,708 ] 31 root - INFO - data Transformation started
[ 2026-01-03 08:36:55,708 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-03 08:36:55,708 ] 63 root - INFO - Starting data transformation
[ 2026-01-03 08:36:55,716 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-03 08:36:55,716 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-03 08:36:55,719 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 08:36:55,721 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 08:36:55,721 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 08:36:55,722 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 08:36:55,722 ] 35 root - INFO - data Transformation completed
[ 2026-01-03 08:36:55,722 ] 37 root - INFO - Model Training stared
